chemin ,class ,classe_LOC ,classe_CLOC ,classe_DC ,WMC ,classe_BC 
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\ChartRenderingInfo.java,ChartRenderingInfo,231,134,0.5800866,19,0.030530874
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\ChartTheme.java,ChartTheme,53,49,0.9245283,0,0.0
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\ChartTransferable.java,ChartTransferable,247,143,0.57894737,18,0.032163743
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\ChartUtils.java,ChartUtils,650,397,0.6107692,90,0.0067863245
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\date\MonthConstants.java,MonthConstants,65,50,0.7692308,0,0.0
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\date\package-info.java,package-info,4,3,0.75,0,0.0
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\date\SerialDate.java,SerialDate,856,501,0.58528036,157,0.0037279003
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\date\SpreadsheetDate.java,SpreadsheetDate,405,230,0.56790125,61,0.009309856
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\editor\ChartEditor.java,ChartEditor,56,50,0.89285713,0,0.0
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\editor\ChartEditorFactory.java,ChartEditorFactory,54,49,0.9074074,0,0.0
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\editor\ChartEditorManager.java,ChartEditorManager,86,68,0.7906977,0,0.0
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\editor\DefaultAxisEditor.java,DefaultAxisEditor,455,228,0.50109893,31,0.016164482
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\editor\DefaultChartEditor.java,DefaultChartEditor,243,96,0.39506173,10,0.039506175
